Both sexes,An intellectual disability,Leinster,30273,,Region,Total persons(Both Sexes),Blindness or a serious vision impairment(Both Sexes),Deafness or a serious hearing impairment(Both Sexes),A condition that substantially limits one or more basic physical activities(Both Sexes)
Female,Psychological or emotional condition,Kildare,2144,,,,,,
Female,Psychological or emotional condition,Kilkenny,896,,,,,,
Female,Psychological or emotional condition,Laois,867,,,,,,
Female,Psychological or emotional condition,Longford,462,,,,,,
Female,Psychological or emotional condition,Louth,1322,,,,,,
Female,Psychological or emotional condition,Meath,1727,,,,,,
Female,Psychological or emotional condition,Offaly,782,,,,,,
Female,Psychological or emotional condition,Westmeath,994,,,,,,
Female,Psychological or emotional condition,Wexford,1560,,,,,,
Female,Psychological or emotional condition,Wicklow,1487,,,,,,
Female,Psychological or emotional condition,Munster,13798,,,,,,
Female,Psychological or emotional condition,Clare,1134,,,,,,
Female,Psychological or emotional condition,Cork,5914,,,,,,
Female,Psychological or emotional condition,Cork City,1959,,,,,,
Female,Psychological or emotional condition,Cork County,3955,,,,,,
Female,Psychological or emotional condition,Kerry,1446,,,,,,
Female,Psychological or emotional condition,Limerick,2308,,,,,,
Female,Psychological or emotional condition,Limerick City,1010,,,,,,
Female,Psychological or emotional condition,Limerick County,1298,,,,,,
Female,Psychological or emotional condition,Tipperary,748,,,,,,
Female,Psychological or emotional condition,South Tipperary,989,,,,,,
Female,Psychological or emotional condition,Waterford,1259,,,,,,
Female,Psychological or emotional condition,Waterford City,597,,,,,,
Female,Psychological or emotional condition,Waterford County,662,,,,,,
Female,Psychological or emotional condition,Connacht,5667,,,,,,
Female,Psychological or emotional condition,Galway,2492,,,,,,
Female,Psychological or emotional condition,Galway City,883,,,,,,
Female,Psychological or emotional condition,Galway County,1609,,,,,,
Female,Psychological or emotional condition,Leitrim,325,,,,,,
Female,Psychological or emotional condition,Mayo,1329,,,,,,
Female,Psychological or emotional condition,Roscommon,686,,,,,,
Female,Psychological or emotional condition,Sligo,835,,,,,,
Female,Psychological or emotional condition,Ulster (part of),2769,,,,,,
Female,Psychological or emotional condition,Cavan,574,,,,,,
Female,Psychological or emotional condition,Donegal,1635,,,,,,
Female,Psychological or emotional condition,Monaghan,560,,,,,,
Female,Psychological or emotional condition,State,50888,,,,,,
Female,"Other disability, including chronic illness",Leinster,82056,,,,,,
Female,"Other disability, including chronic illness",Carlow,1771,,,,,,
Female,"Other disability, including chronic illness",Dublin,43909,,,,,,
Female,"Other disability, including chronic illness",Dublin City,21132,,,,,,
Female,"Other disability, including chronic illness",Dun Laoghaire-Rathdown,6758,,,,,,
Female,"Other disability, including chronic illness",Fingal,7357,,,,,,
Female,"Other disability, including chronic illness",South Dublin,8662,,,,,,
Female,"Other disability, including chronic illness",Kildare,6225,,,,,,
Female,"Other disability, including chronic illness",Kilkenny,2891,,,,,,
Female,"Other disability, including chronic illness",Laois,2423,,,,,,
Female,"Other disability, including chronic illness",Longford,1338,,,,,,
Female,"Other disability, including chronic illness",Louth,3925,,,,,,
Female,"Other disability, including chronic illness",Meath,4814,,,,,,
Female,"Other disability, including chronic illness",Offaly,2660,,,,,,
Female,"Other disability, including chronic illness",Westmeath,2777,,,,,,
Female,"Other disability, including chronic illness",Wexford,4917,,,,,,
Female,"Other disability, including chronic illness",Wicklow,4406,,,,,,
Female,"Other disability, including chronic illness",Munster,40666,,,,,,
Female,"Other disability, including chronic illness",Clare,3579,,,,,,
Female,"Other disability, including chronic illness",Cork,16345,,,,,,
Female,"Other disability, including chronic illness",Cork City,5155,,,,,,
Female,"Other disability, including chronic illness",Cork County,11190,,,,,,
Female,"Other disability, including chronic illness",Kerry,4464,,,,,,
Female,"Other disability, including chronic illness",Limerick,6783,,,,,,
Female,"Other disability, including chronic illness",Limerick City,2755,,,,,,
Female,"Other disability, including chronic illness",Limerick County,4028,,,,,,
Female,"Other disability, including chronic illness",Tipperary,2423,,,,,,
Female,"Other disability, including chronic illness",South Tipperary,3214,,,,,,
Female,"Other disability, including chronic illness",Waterford,3858,,,,,,
Female,"Other disability, including chronic illness",Waterford City,1843,,,,,,
Female,"Other disability, including chronic illness",Waterford County,2015,,,,,,
Female,"Other disability, including chronic illness",Connacht,16897,,,,,,
Female,"Other disability, including chronic illness",Galway,7316,,,,,,
Female,"Other disability, including chronic illness",Galway City,2239,,,,,,
Female,"Other disability, including chronic illness",Galway County,5077,,,,,,
Female,"Other disability, including chronic illness",Leitrim,958,,,,,,
Female,"Other disability, including chronic illness",Mayo,4262,,,,,,
Female,"Other disability, including chronic illness",Roscommon,2090,,,,,,
Female,"Other disability, including chronic illness",Sligo,2271,,,,,,
Female,"Other disability, including chronic illness",Ulster (part of),9044,,,,,,
Female,"Other disability, including chronic illness",Cavan,1990,,,,,,
Female,"Other disability, including chronic illness",Donegal,5344,,,,,,
Female,"Other disability, including chronic illness",Monaghan,1710,,,,,,
Female,"Other disability, including chronic illness",State,148663,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Leinster,36706,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Carlow,873,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Dublin,18526,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Dublin City,9061,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Dun Laoghaire-Rathdown,2976,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Fingal,3146,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",South Dublin,3343,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Kildare,2727,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Kilkenny,1533,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Laois,1167,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Longford,698,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Louth,2011,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Meath,2217,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Offaly,1277,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Westmeath,1476,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Wexford,2234,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Wicklow,1967,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Munster,21164,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Clare,1818,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Cork,8542,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Cork City,2534,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Cork County,6008,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Kerry,2579,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Limerick,3462,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Limerick City,1176,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Limerick County,2286,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Tipperary,1258,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",South Tipperary,1581,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Waterford,1924,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Waterford City,877,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Waterford County,1047,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Connacht,9913,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Galway,3938,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Galway City,933,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Galway County,3005,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Leitrim,557,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Mayo,2740,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Roscommon,1287,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Sligo,1391,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Ulster (part of),5326,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Cavan,1240,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Donegal,2974,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",Monaghan,1112,,,,,,
Female,"Difficulty in dressing, bathing or getting around inside the home",State,73109,,,,,,
Female,Difficulty in going outside home alone,Leinster,50914,,,,,,
Female,Difficulty in going outside home alone,Carlow,1177,,,,,,
Female,Difficulty in going outside home alone,Dublin,26476,,,,,,
Female,Difficulty in going outside home alone,Dublin City,13391,,,,,,
Female,Difficulty in going outside home alone,Dun Laoghaire-Rathdown,4137,,,,,,
Female,Difficulty in going outside home alone,Fingal,4197,,,,,,
Female,Difficulty in going outside home alone,South Dublin,4751,,,,,,
Female,Difficulty in going outside home alone,Kildare,3586,,,,,,
Female,Difficulty in going outside home alone,Kilkenny,2066,,,,,,
Female,Difficulty in going outside home alone,Laois,1576,,,,,,
Female,Difficulty in going outside home alone,Longford,939,,,,,,
Female,Difficulty in going outside home alone,Louth,2759,,,,,,
Female,Difficulty in going outside home alone,Meath,3025,,,,,,
Female,Difficulty in going outside home alone,Offaly,1678,,,,,,
Female,Difficulty in going outside home alone,Westmeath,1977,,,,,,
Female,Difficulty in going outside home alone,Wexford,3039,,,,,,
Female,Difficulty in going outside home alone,Wicklow,2616,,,,,,
Female,Difficulty in going outside home alone,Munster,28802,,,,,,
Female,Difficulty in going outside home alone,Clare,2470,,,,,,
Female,Difficulty in going outside home alone,Cork,11683,,,,,,
Female,Difficulty in going outside home alone,Cork City,3803,,,,,,
Female,Difficulty in going outside home alone,Cork County,7880,,,,,,
Female,Difficulty in going outside home alone,Kerry,3445,,,,,,
Female,Difficulty in going outside home alone,Limerick,4765,,,,,,
Female,Difficulty in going outside home alone,Limerick City,1720,,,,,,
Female,Difficulty in going outside home alone,Limerick County,3045,,,,,,
Female,Difficulty in going outside home alone,Tipperary,1666,,,,,,
Female,Difficulty in going outside home alone,South Tipperary,2119,,,,,,
Female,Difficulty in going outside home alone,Waterford,2654,,,,,,
Female,Difficulty in going outside home alone,Waterford City,1226,,,,,,
Female,Difficulty in going outside home alone,Waterford County,1428,,,,,,
Female,Difficulty in going outside home alone,Connacht,13221,,,,,,
Female,Difficulty in going outside home alone,Galway,5325,,,,,,
Female,Difficulty in going outside home alone,Galway City,1261,,,,,,
Female,Difficulty in going outside home alone,Galway County,4064,,,,,,
Female,Difficulty in going outside home alone,Leitrim,740,,,,,,
Female,Difficulty in going outside home alone,Mayo,3622,,,,,,
Female,Difficulty in going outside home alone,Roscommon,1685,,,,,,
Female,Difficulty in going outside home alone,Sligo,1849,,,,,,
Female,Difficulty in going outside home alone,Ulster (part of),7117,,,,,,
Female,Difficulty in going outside home alone,Cavan,1590,,,,,,
Female,Difficulty in going outside home alone,Donegal,4068,,,,,,
Female,Difficulty in going outside home alone,Monaghan,1459,,,,,,
Female,Difficulty in going outside home alone,State,100054,,,,,,
Female,Difficulty in working or attending school/college,Leinster,52197,,,,,,
Female,Difficulty in working or attending school/college,Carlow,1270,,,,,,
Female,Difficulty in working or attending school/college,Dublin,26588,,,,,,
Female,Difficulty in working or attending school/college,Dublin City,12385,,,,,,
Female,Difficulty in working or attending school/college,Dun Laoghaire-Rathdown,4035,,,,,,
Female,Difficulty in working or attending school/college,Fingal,4855,,,,,,
Female,Difficulty in working or attending school/college,South Dublin,5313,,,,,,
Female,Difficulty in working or attending school/college,Kildare,3967,,,,,,
Female,Difficulty in working or attending school/college,Kilkenny,1949,,,,,,
Female,Difficulty in working or attending school/college,Laois,1612,,,,,,
Female,Difficulty in working or attending school/college,Longford,940,,,,,,
Female,Difficulty in working or attending school/college,Louth,2676,,,,,,
Female,Difficulty in working or attending school/college,Meath,3386,,,,,,
Female,Difficulty in working or attending school/college,Offaly,1779,,,,,,
Female,Difficulty in working or attending school/college,Westmeath,1958,,,,,,
Female,Difficulty in working or attending school/college,Wexford,3283,,,,,,
Female,Difficulty in working or attending school/college,Wicklow,2789,,,,,,
Female,Difficulty in working or attending school/college,Munster,29205,,,,,,
Female,Difficulty in working or attending school/college,Clare,2415,,,,,,
Female,Difficulty in working or attending school/college,Cork,12043,,,,,,
Female,Difficulty in working or attending school/college,Cork City,3680,,,,,,
Female,Difficulty in working or attending school/college,Cork County,8363,,,,,,
Female,Difficulty in working or attending school/college,Kerry,3278,,,,,,
Female,Difficulty in working or attending school/college,Limerick,4942,,,,,,
Female,Difficulty in working or attending school/college,Limerick City,1800,,,,,,
Female,Difficulty in working or attending school/college,Limerick County,3142,,,,,,
Female,Difficulty in working or attending school/college,Tipperary,1708,,,,,,
Female,Difficulty in working or attending school/college,South Tipperary,2144,,,,,,
Female,Difficulty in working or attending school/college,Waterford,2675,,,,,,
Female,Difficulty in working or attending school/college,Waterford City,1240,,,,,,
Female,Difficulty in working or attending school/college,Waterford County,1435,,,,,,
Female,Difficulty in working or attending school/college,Connacht,12280,,,,,,
Female,Difficulty in working or attending school/college,Galway,5226,,,,,,
Female,Difficulty in working or attending school/college,Galway City,1381,,,,,,
Female,Difficulty in working or attending school/college,Galway County,3845,,,,,,
Female,Difficulty in working or attending school/college,Leitrim,696,,,,,,
Female,Difficulty in working or attending school/college,Mayo,3253,,,,,,
Female,Difficulty in working or attending school/college,Roscommon,1386,,,,,,
Female,Difficulty in working or attending school/college,Sligo,1719,,,,,,
Female,Difficulty in working or attending school/college,Ulster (part of),6456,,,,,,
Female,Difficulty in working or attending school/college,Cavan,1420,,,,,,
Female,Difficulty in working or attending school/college,Donegal,3678,,,,,,
Female,Difficulty in working or attending school/college,Monaghan,1358,,,,,,
Female,Difficulty in working or attending school/college,State,100138,,,,,,
Female,Difficulty in participating in other activities,Leinster,60549,,,,,,
Female,Difficulty in participating in other activities,Carlow,1351,,,,,,
Female,Difficulty in participating in other activities,Dublin,31310,,,,,,
Female,Difficulty in participating in other activities,Dublin City,15015,,,,,,
Female,Difficulty in participating in other activities,Dun Laoghaire-Rathdown,5093,,,,,,
Female,Difficulty in participating in other activities,Fingal,5199,,,,,,
Female,Difficulty in participating in other activities,South Dublin,6003,,,,,,
Female,Difficulty in participating in other activities,Kildare,4485,,,,,,
Female,Difficulty in participating in other activities,Kilkenny,2350,,,,,,
Female,Difficulty in participating in other activities,Laois,1865,,,,,,
Female,Difficulty in participating in other activities,Longford,1039,,,,,,
Female,Difficulty in participating in other activities,Louth,3149,,,,,,
Female,Difficulty in participating in other activities,Meath,3745,,,,,,
Female,Difficulty in participating in other activities,Offaly,2001,,,,,,
Female,Difficulty in participating in other activities,Westmeath,2282,,,,,,
Female,Difficulty in participating in other activities,Wexford,3750,,,,,,
Female,Difficulty in participating in other activities,Wicklow,3222,,,,,,
Female,Difficulty in participating in other activities,Munster,33177,,,,,,
Female,Difficulty in participating in other activities,Clare,2829,,,,,,
Female,Difficulty in participating in other activities,Cork,13553,,,,,,
Female,Difficulty in participating in other activities,Cork City,4160,,,,,,
Female,Difficulty in participating in other activities,Cork County,9393,,,,,,
Female,Difficulty in participating in other activities,Kerry,3846,,,,,,
Female,Difficulty in participating in other activities,Limerick,5441,,,,,,
Female,Difficulty in participating in other activities,Limerick City,1964,,,,,,
Female,Difficulty in participating in other activities,Limerick County,3477,,,,,,
Female,Difficulty in participating in other activities,Tipperary,1966,,,,,,
Female,Difficulty in participating in other activities,South Tipperary,2518,,,,,,
Female,Difficulty in participating in other activities,Waterford,3024,,,,,,
Female,Difficulty in participating in other activities,Waterford City,1363,,,,,,
Female,Difficulty in participating in other activities,Waterford County,1661,,,,,,
Female,Difficulty in participating in other activities,Connacht,14648,,,,,,
Female,Difficulty in participating in other activities,Galway,6062,,,,,,
Female,Difficulty in participating in other activities,Galway City,1547,,,,,,
Female,Difficulty in participating in other activities,Galway County,4515,,,,,,
Female,Difficulty in participating in other activities,Leitrim,847,,,,,,
Female,Difficulty in participating in other activities,Mayo,3964,,,,,,
Female,Difficulty in participating in other activities,Roscommon,1761,,,,,,
Female,Difficulty in participating in other activities,Sligo,2014,,,,,,
Female,Difficulty in participating in other activities,Ulster (part of),7764,,,,,,
Female,Difficulty in participating in other activities,Cavan,1733,,,,,,
Female,Difficulty in participating in other activities,Donegal,4461,,,,,,
Female,Difficulty in participating in other activities,Monaghan,1570,,,,,,
Female,Difficulty in participating in other activities,State,116138,,,,,,
Female,Total disabilities,Leinster,467669,,,,,,
Female,Total disabilities,Carlow,10424,,,,,,
Female,Total disabilities,Dublin,245184,,,,,,
Female,Total disabilities,Dublin City,119296,,,,,,
Female,Total disabilities,Dun Laoghaire-Rathdown,38398,,,,,,
Female,Total disabilities,Fingal,41017,,,,,,
Female,Total disabilities,South Dublin,46473,,,,,,
Female,Total disabilities,Kildare,34437,,,,,,
Female,Total disabilities,Kilkenny,17686,,,,,,
Female,Total disabilities,Laois,14338,,,,,,
Female,Total disabilities,Longford,8155,,,,,,
Female,Total disabilities,Louth,23770,,,,,,
Female,Total disabilities,Meath,27965,,,,,,
Female,Total disabilities,Offaly,15234,,,,,,
Female,Total disabilities,Westmeath,17235,,,,,,
Female,Total disabilities,Wexford,28384,,,,,,
Female,Total disabilities,Wicklow,24857,,,,,,
Female,Total disabilities,Munster,251369,,,,,,
Female,Total disabilities,Clare,21503,,,,,,
Female,Total disabilities,Cork,102425,,,,,,
Female,Total disabilities,Cork City,32415,,,,,,
Female,Total disabilities,Cork County,70010,,,,,,
Female,Total disabilities,Kerry,28962,,,,,,
Female,Total disabilities,Limerick,41397,,,,,,
Female,Total disabilities,Limerick City,15560,,,,,,
Female,Total disabilities,Limerick County,25837,,,,,,
Female,Total disabilities,Tipperary,14720,,,,,,
Female,Total disabilities,South Tipperary,18989,,,,,,
Female,Total disabilities,Waterford,23373,,,,,,
Female,Total disabilities,Waterford City,10827,,,,,,
Female,Total disabilities,Waterford County,12546,,,,,,
Female,Total disabilities,Connacht,109510,,,,,,
Female,Total disabilities,Galway,45367,,,,,,
Female,Total disabilities,Galway City,12351,,,,,,
Female,Total disabilities,Galway County,33016,,,,,,
Female,Total disabilities,Leitrim,6205,,,,,,
Female,Total disabilities,Mayo,29038,,,,,,
Female,Total disabilities,Roscommon,13579,,,,,,
Female,Total disabilities,Sligo,15321,,,,,,
Female,Total disabilities,Ulster (part of),58325,,,,,,
Female,Total disabilities,Cavan,12909,,,,,,
Female,Total disabilities,Donegal,33768,,,,,,
Female,Total disabilities,Monaghan,11648,,,,,,
Female,Total disabilities,State,886873,,,,,,
